_id,ISBN13,Name,Author,ModifierAuth ,Publisher,Language,Year,Category,Actype
5edfcd051027ff78eca08665,9781984801252,Untamed,Glennon Doyle,None,The Dial Press,English,2020,Biographies & Memoirs,TRUE
5edfcd051027ff78eca08666,9788437608341,As I Lay Dying,William Faulkner,None,GENERAL PRESS,Spanish,1930,Black Comedy,2
5edfcd051027ff78eca08667,9789389716702,Absolute Surrender,Andrew Murray,None,Hendrickson Publishers,English,2005,Religion,TRUE
5edfcd051027ff78eca08668,9789389716696,A Wrinkle in Time,Unknown,FALSE,Madeleine Lengle,English,1962,Fantasy,TRUE
5edfcd051027ff78eca0866a,9789390213276,TWENTY THOUSAND LEAGUES UNDER THE SEA,JULES VERNE,FALSE,WILCO PUBLISHING HOUSE,English,FALSE,Novel,2
5edfcd051027ff78eca0866b,9789390213269,THE OLD MAN AND THE SEA,ERNEST HEMINGWAY,FALSE,WILCO PUBLISHING HOUSE,English,2020,Novel,2
5edfcd051027ff78eca0866c,9789390213252,THE ART OF WAR,SUN TZU,FALSE,WILCO PUBLISHING HOUSE,English,500,Stratagy ,TRUE
5edfcd051027ff78eca0866d,9789390239672,SET (BBA) Entrance Exam,Mr. Rohit Manglik,FALSE,EduGorilla Community Private Limited,Hindi,2020,Commerce,2
5edfcd051027ff78eca0866e,9789390213245,THE ADVENTURES OF SHERLOCK HOLMES,ARTHUR CONAN DOYLE,FALSE,WILCO PUBLISHING HOUSE,English,2020,FALSE,2
5edfcd051027ff78eca0866f,9789390213238,GREAT EXPECTATIONS,CHARLES DICKENS,FALSE,WILCO PUBLISHING HOUSE,English,FALSE,History,TRUE
5edfcd051027ff78eca08670,9789354074455,The Way I Think For...,Shrihas Ekbote,FALSE,eBookHouse Online,English,2020,Novel,TRUE
5edfcd051027ff78eca08671,9789390213221,DIARY OF A YOUNG GIRL,ANNE FRANK,FALSE,WILCO PUBLISHING HOUSE,Dutch,1947,Biographies & Memoirs,TRUE
5edfcd051027ff78eca08672,9789389648300,Spring Bouncing Back From Rejection,Ambi Parameswaran,FALSE,Westland Publications Private Limited,English,2020,Novel,TRUE
5edfcd051027ff78eca08673,9789390000000,Writing Thesis & Research Papers,Dr. Mosam Sinha,None,DPS PUBLISHING HOUSE,English,2020,Science,2
5edfcd051027ff78eca08674,9789390000000,Winning Job Interview,Dr. Mosam Sinha,None,DPS PUBLISHING HOUSE,English,2020,General,2
5edfcd051027ff78eca08675,9789390000000,Business Correspondence,Dr. Mosam Sinha,None,DPS PUBLISHING HOUSE,English,2019,Business,TRUE
5edfcd051027ff78eca08676,9789390000000,The Trial,Franz,None,General Press,English,1925,Novel,2
5edfcd051027ff78eca08677,9789390000000,The Sound and the Fury,William Faulkner,None,General Press,English,1929,Comic,TRUE
5edfcd051027ff78eca08678,9789390000000,The Seven Last Words,Fulton J. Sheen,None,General Press,English,2020,Comic,TRUE
5edfcd051027ff78eca08679,9789390000000,The Odyssey,Homer,None,General Press,English,2019,History,2
5edfcd051027ff78eca0867a,9789390000000,The Everlasting Man,G.K. Chesterton,None,General Press,English,1993,History,TRUE
5edfcd051027ff78eca0867b,9789390000000,Man The Dwelling Place of God,AW Tozer,None,General Press,English,2019,Religion,TRUE
5edfcd051027ff78eca0867c,9789390000000,Jail Diary and Other Writings,Bhagat Singh,None,General Press,English,2019,Biographies & Memoirs,2
5edfcd051027ff78eca0867d,9789390000000,"How I Made 2,000,000 in the Stock Market",Nicolas Darvas,None,General Press,English,1959,Business,2
5edfcd051027ff78eca0867e,9789390000000,Experiencing the Holy Spirit,Andrew Murray,None,General Press,English,2000,Religion,TRUE
5edfcd051027ff78eca0867f,9789390000000,Crime and Punishment,Fyodor Dostoyevsky,None,General Press,English,2007,Crime,TRUE
5edfcd051027ff78eca08680,9789390000000,Chanakya Neeti,Chanakya,None,General Press,English,2017,War,TRUE
5edfcd051027ff78eca08681,9788194566601,A Scale to Measure Attitude towards Child Rights Among School Teachers : A Manual,Daniel Solomon,and Lilly Pushpam S,Edusys,English,2017,Education,TRUE
5edfcd051027ff78eca08682,9789388833196,Digital Yug Aur Guru Nanak Ka Sahitya,Dr Smita Mishra,Dr Smita Mishra,Manjuli Prakashan,Hindi,2015,History,TRUE
5edfcd051027ff78eca08683,9789388833189,Digital Yug Aur Guru Nanak Ka Sahitya 2,Dr Smita Mishra,Dr Smita Mishra,Manjuli Prakashan,Hindi,2015,History,TRUE
